Ref,Topic En,Topic He,Slug
Berakhot 2a:1-3,Laws of Blessings,הלכות ברכות,laws-of-blessings
Berakhot 2a:1-10,Laws of the Recitation of Shema,דיני קריאת שמע,laws-of-the-recitation-of-shema
Berakhot 2a:5,Laws of Animal Sacrifices,הלכות קרבנות מן החי,laws-of-animal-sacrifices
Berakhot 2a:10,Laws of Blessings,הלכות ברכות,laws-of-blessings
Berakhot 2a:12-13,Laws of Eating the Priestly Tithe,דיני אכילת התרומה,laws-of-eating-the-priestly-tithe
Berakhot 3a:12,The Lord and the Jewish People,אלקים וישראל,the-lord-and-the-jewish-people
Berakhot 3a:12,"Rabbi Yose b. Chalafta and His Son, Rabbi Yishmael",רַ' יוֹסֵי בֶּן חֲלַפְתָּא וּבְנוֹ רַ' יִשְׁמָעֵאל,rabbi-yose-b-chalafta-and-his-son-rabbi-yishmael
Berakhot 3a:15,Laws for the Protection of Life,דיני שמירת הנפש,laws-for-the-protection-of-life
Berakhot 3a:15,Laws of Prayer,הלכות תפילה,laws-of-prayer
Berakhot 3a:15,Numbers,מספר,numbers
Berakhot 3b:17,Laws of Comforting the Mourners,דיני ניחום אבלים,laws-of-comforting-the-mourners
Berakhot 3b:29,Songs,שיר,songs1
Berakhot 3b:29-30,David's Harp,כנור דוד,davids-harp
Berakhot 4a:6,Vows,נדרים,vows
Berakhot 4a:9,David's Harp,כנור דוד,davids-harp
Berakhot 4b:2,Rabbinic Ordinances,תקנות,rabbinic-ordinances
Berakhot 4b:2,Laws of Prayer,הלכות תפילה,laws-of-prayer
Berakhot 4b:2-6,Laws of Blessings,הלכות ברכות,laws-of-blessings
Berakhot 4b:6-16,Order and Practice of Prayer,סדר התפילה למעשה,order-and-practice-of-prayer
Berakhot 4b:14,Laws of Prayer,הלכות תפילה,laws-of-prayer
Berakhot 4b:26,Entourage Above,פָּמַלְיָא שֶׁל מַעְלָה,entourage-above
Berakhot 4b:26,Society,חברה (סביבה אנושית),society
Berakhot 4b:27,Laws of Blessings,הלכות ברכות,laws-of-blessings
Berakhot 4b:27,Order and Practice of Prayer,סדר התפילה למעשה,order-and-practice-of-prayer
Berakhot 5a:2,Impulses,יצרים,impulses
Berakhot 5a:6,Afflictions,יסורין,afflictions
Berakhot 5a:7,Torah,תורה,torah
Berakhot 5a:8,Giving of the Torah,נתינת התורה,giving-of-the-torah
Berakhot 5a:10-12,Afflictions,יסורין,afflictions
Berakhot 5a:14,Torah,תורה,torah
Berakhot 5a:16-19,Afflictions,יסורין,afflictions
Berakhot 5a:20,Numbers,מספר,numbers
Berakhot 5a:20-21,Torah,תורה,torah
Berakhot 5a:20-22,The Land of Israel and the Jewish People,ישראל וארץ ישראל,the-land-of-israel-and-the-jewish-people
Berakhot 5b,Laws of Judges and Courts,הלכות בתי הדין והדיינים,laws-of-judges-and-courts
Berakhot 5b:10,Afflictions,יסורין,afflictions
Berakhot 5b:14,Mitzvot,מצוות,mitzvot
Berakhot 5b:14,Rabbi Yochanan (Hanapacha) and Rabbi Shimon b. Lakish (Reish Lakish),רַ' יוֹחָנָן (בֶּן הַנַּפָּח) וְרַ' שִׁמְעוֹן בֶּן לָקִישׁ (רֵישׁ לָקִישׁ),rabbi-yochanan-(hanapacha)-and-rabbi-shimon-b-lakish-(reish-lakish)
Berakhot 5b:21,Laws of Blessings,הלכות ברכות,laws-of-blessings
Berakhot 5b:21,Laws of Prayer,הלכות תפילה,laws-of-prayer
Berakhot 5b:21,Laws of the Sanctity of the Temple,הלכות קדושת המקדש,laws-of-the-sanctity-of-the-temple
Berakhot 5b:25,Order and Practice of Prayer,סדר התפילה למעשה,order-and-practice-of-prayer
Berakhot 5b:25-26,Prayer,תפילה,prayer
Berakhot 5b:26,Rav Huna,רב הונא,rav-huna
Berakhot 5b:26,"Theft, Robbery and Murder","גְּנֵבָה, גְּזֵלָה וּשְׁפִיכוּת דָּמִים",theft-robbery-and-murder
Berakhot 6a:2-3,Harmful Forces,מזיקין,harmful-forces
Berakhot 6a:7,Order and Practice of Prayer,סדר התפילה למעשה,order-and-practice-of-prayer
Berakhot 6a:7-9,Prayer,תפילה,prayer
Berakhot 6a:9,Judgements,פסק דין,judgements1
Berakhot 6a:21-22,The Lord and the Jewish People,אלקים וישראל,the-lord-and-the-jewish-people
